FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
FR23572 	GATEAU AU VINAIGRE DE GRAND-MERE, PREPARATION ARTISANALE 	GATEAU AU VINAIGRE DE GRAND-MERE, PREPARATION ARTISANALE 	A0210 B1421 C0208 E0146 F0014 G0026 G0005 H0364 H0200 H0158 H0271 H0184 H0351 J0003 K0003 P0024
FR23573 	GATEAU GALLOIS AUX GRATTONS, PREPARATION ARTISANALE 	GATEAU GALLOIS AUX GRATTONS, PREPARATION ARTISANALE 	A0210 B1421 C0208 E0105 F0014 G0005 G0026 H0262 H0232 H0191 H0184 J0003 K0003 P0024
FR23574 	GATEAU AUX POMMES DE TERRE, PREPARATION ARTISANALE 	GATEAU AUX POMMES DE TERRE, PREPARATION ARTISANALE 	A0210 B1218 C0240 E0146 F0014 G0016 G0005 H0229 H0186 H0147 H0152 H0184 H0158 H0271 J0003 K0003 P0024
FR23575 	GATEAU AUX RAISINS DE SMYRNE, PREPARATION ARTISANALE 	GATEAU AUX RAISINS DE SMYRNE, PREPARATION ARTISANALE 	A0210 B1421 C0208 E0146 F0014 G0026 G0005 H0364 H0158 H0280 H0184 H0271 H0351 J0003 K0003 P0024
FR23576 	GATEAU GALLOIS, PREPARATION ARTISANALE 	GATEAU GALLOIS, PREPARATION ARTISANALE 	A0210 B2038 C0140 E0146 F0014 G0026 G0005 H0262 H0271 H0152 H0158 H0351 H0186 J0003 K0003 P0024
FR23577 	GALETTE AU CHOCOLAT, PREPARATION ARTISANALE 	GALETTE AU CHOCOLAT, PREPARATION ARTISANALE 	A0194 B1012 C0210 E0105 F0014 G0026 G0005 H0152 H0186 H0231 H0271 J0003 K0003 P0024
FR23578 	GATEAU AU CHOCOLAT DE LA MARECHALE DE LANNES, PREPARATION ARTISANALE 	GATEAU AU CHOCOLAT DE LA MARECHALE DE LANNES, PREPARATION ARTISANALE 	A0210 B1318 C0134 E0146 F0014 G0026 G0005 H0186 H0185 H0182 H0271 H0158 H0152 J0003 K0003 P0024
FR23579 	GATEAU AU CHOCOLAT ET A LA CANNELLE, PREPARATION ARTISANALE 	GATEAU AU CHOCOLAT ET A LA CANNELLE, PREPARATION ARTISANALE 	A0210 B1012 C0210 E0146 F0014 G0026 G0005 H0186 H0152 H0231 H0229 J0003 K0003 P0024
FR23580 	GATEAU NEERLANDAIS AU CHOCOLAT, PREPARATION ARTISANALE 	GATEAU NEERLANDAIS AU CHOCOLAT, PREPARATION ARTISANALE 	A0210 B1012 C0210 E0146 F0014 G0005 G0026 H0186 H0177 H0184 H0185 H0271 H0231 H0182 H0229 J0003 K0003 P0024
FR23581 	GATEAU AU CHOCOLAT A LA SACHER, PREPARATION ARTISANALE 	GATEAU AU CHOCOLAT A LA SACHER, PREPARATION ARTISANALE 	A0210 B1318 C0134 E0146 F0014 G0005 G0026 H0271 H0152 H0158 H0186 J0003 K0003 P0024
FR23582 	FORET NOIRE AU CERISES, PREPARATION ARTISANALE 	FORET NOIRE AU CERISES, PREPARATION ARTISANALE 	A0210 B1052 C0139 E0146 F0014 G0005 H0160 H0158 H0152 H0231 H0351 H0271 H0296 J0003 K0003 P0024
FR23583 	GATEAU AU CHOCOLAT ET AUX AMANDES, PREPARATION ARTISANALE 	GATEAU AU CHOCOLAT ET AUX AMANDES, PREPARATION ARTISANALE 	A0210 B1012 C0210 E0146 F0014 G0005 G0026 H0177 H0186 H0271 H0231 H0152 J0003 K0003 P0024
FR23584 	GATEAU DE CHOCOLAT A LA PUREE DE POMME DE TERRE, PREPARATION ARTISANALE 	GATEAU DE CHOCOLAT A LA PUREE DE POMME DE TERRE, PREPARATION ARTISANALE 	A0210 B1012 C0210 E0146 F0014 G0005 G0016 H0271 H0231 H0351 H0182 H0227 H0152 H0184 H0186 H0212 J0003 K0003 P0024
FR23585 	GATEAU AU CHOCOLAT, PREPARATION ARTISANALE 	GATEAU AU CHOCOLAT, PREPARATION ARTISANALE 	A0210 B1012 C0210 E0146 F0014 G0005 G0026 H0186 H0152 H0231 H0271 J0003 K0003 P0024
FR23586 	GATEAU ALLEMAND AU CHOCOLAT, PREPARATION ARTISANALE 	GATEAU ALLEMAND AU CHOCOLAT, PREPARATION ARTISANALE 	A0210 B1012 C0210 E0146 F0014 G0005 G0026 H0231 H0271 H0122 H0296 H0186 H0152 H0177 J0003 K0003 P0024
FR23587 	LE MONTMORENCY, PREPARATION ARTISANALE 	LE MONTMORENCY, PREPARATION ARTISANALE 	A0210 B1306 C0139 E0146 F0014 G0005 G0018 H0229 H0231 H0186 H0152 H0158 H0160 H0271 J0003 K0003 P0024
FR23600 	GALETTE, SANS SPECIFICATION 	GALETTE, SANS SPECIFICATION 	A0194 B1201 C0235 E0153 F0014 G0008 H0256 H0152 H0263 H0186 H0351 J0001 K0003 P0024
FR23610 	GALETTE BRETONNE ORDINAIRE, PREPARATION ARTISANALE 	GALETTE BRETONNE ORDINAIRE, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0353 H0160 H0117 H0271 H0221 H0158 H0280 J0003 K0003 P0024
FR23615 	GALETTE BRETONNE, PUR BEURRE, PREPARATION ARTISANALE 	GALETTE BRETONNE, PUR BEURRE, PREPARATION ARTISANALE 	A0203 B1421 C0208 E0140 F0014 G0005 H0353 H0117 H0271 H0186 H0160 H0158 J0003 K0003 P0024
FR23680 	GALETTE DES ROIS, SANS SPECIFICATION, PREPARATION ARTISANALE 	GALETTE DES ROIS, SANS SPECIFICATION, PREPARATION ARTISANALE 	B1421 C0208 E0105 F0014 G0005 H0221 H0233 J0003 K0003 P0024
FR23685 	GALETTE DES ROIS FOURREE, PREPARATION ARTISANALE 	GALETTE DES ROIS FOURREE, PREPARATION ARTISANALE 	B1421 C0208 E0105 F0014 G0005 H0177 H0233 H0158 H0205 H0221 H0207 J0003 K0003 P0024
FR23800 	CREPE 	CREPE 	A0194 B1201 C0235 E0153 F0014 G0008 H0263 H0152 H0186 J0001 K0003 P0024
FR23810 	PATE A CREPE CRUE 	PATE A CREPE CRUE 	A0194 B1201 C0235 E0139 F0003 G0003 H0186 H0263 H0152 J0001 K0003 P0024
FR23815 	CREPE AU SUCRE 	CREPE AU SUCRE 	A0194 B1201 C0235 E0153 F0014 G0008 H0186 H0158 H0152 H0263 J0001 K0003 P0024
FR23820 	CREPE A LA CONFITURE 	CREPE A LA CONFITURE 	A0194 B1201 C0253 E0153 F0014 G0008 H0152 H0122 H0263 H0256 H0186 J0001 K0003 P0024
