FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
F7355	CHEESE ENCHILADA, FROZEN	CHEESE ENCHILADA, FROZEN	A0100 B1312 C0208 E0105 F0001 G0003 H0143 H0212 H0227 J0136 K0003 M0001 N0001 P0024	
F11032	CHEESE FAT	CHEESE FAT	A0164 B1201 C0190 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F9371	CHEESE FILLING	CHEESE FILLING	A0115 B1134 C0245 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F2912	CHEESE FLAVORING, ARTIFICIAL	CHEESE FLAVORING, ARTIFICIAL	A0215 B0001 C0001 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F3519	CHEESE FONDUE	CHEESE FONDUE	A0115 B1201 C0245 E0135 F0014 G0012 H0151 H0160 J0001 K0003 M0001 N0001 P0024	
F15642	CHEESE FOOD WITH ADDED INGREDIENTS, PROCESSED	CHEESE FOOD WITH ADDED INGREDIENTS, PROCESSED	A0282 B1201 C0245 E0151 F0001 G0003 H0119 H0225 J0001 K0003 M0001 N0001 P0024	
F16860	CHEESE FOOD, AMERICAN, GRATED	CHEESE FOOD, AMERICAN, GRATED	A0291 B1201 C0245 E0122 F0001 G0003 H0107 H0138 H0253 J0001 K0003 M0001 N0001 P0024	
F15641	CHEESE FOOD, PROCESSED	CHEESE FOOD, PROCESSED	A0282 B1201 C0245 E0151 F0001 G0001 H0119 J0001 K0003 M0001 N0001 P0024	
F17739	CHEESE FOOD, SLICED, PROCESSED	CHEESE FOOD, SLICED, PROCESSED		
F9585	CHEESE FOR MANUFACTURING USE	CHEESE FOR MANUFACTURING USE	A0187 B1201 C0245 E0001 F0001 G0001 H0119 J0001 K0003 M0001 N0001 P0001	
F3672	CHEESE LOAF	CHEESE LOAF	A0115 B0001 C0001 E0147 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024	
F3536	CHEESE MADE FROM RECONSTITUTED MILK	CHEESE MADE FROM RECONSTITUTED MILK	A0187 B1201 C0245 E0001 F0001 G0003 H0119 J0001 K0001 M0001 N0001 P0024	
F6768	CHEESE PIE	CHEESE PIE	A0100 B1312 C0208 E0105 F0014 G0005 H0143 H0184 H0186 H0227 J0001 K0003 M0001 N0001 P0024	
F2031	CHEESE PIZZA	CHEESE PIZZA	A0100 B1312 C0208 E0140 F0014 G0001 H0143 H0212 H0227 J0001 K0003 M0001 N0001 P0024	
F6789	CHEESE PIZZA KIT	CHEESE PIZZA KIT	A0100 B1312 C0208 E0001 F0018 G0003 H0143 H0194 H0212 H0227 J0001 K0003 M0001 N0001 P0024 Z0074	
F5390	CHEESE PIZZA, FROZEN	CHEESE PIZZA, FROZEN	A0100 B1312 C0208 E0140 F0014 G0001 H0143 H0212 H0227 J0136 K0003 M0001 N0001 P0024	
F2972	CHEESE POWDER, CONCENTRATED	CHEESE POWDER, CONCENTRATED	A0115 B1134 C0245 E0106 F0001 G0003 H0107 H0138 J0116 K0003 M0001 N0001 P0024	
F15866	CHEESE POWDER, INDUSTRIAL SPRAY-DRIED	CHEESE POWDER, INDUSTRIAL SPRAY-DRIED	A0115 B1134 C0245 E0106 F0001 G0003 H0107 H0138 J0133 K0003 M0001 N0001 P0024	
F15748	CHEESE PREPARATION, GRATED, UNSTANDARDIZED	CHEESE PREPARATION, GRATED, UNSTANDARDIZED	A0115 B1134 C0113 E0136 F0001 G0003 H0107 J0001 K0003 M0001 N0001 P0024	
F16667	CHEESE PREPARATION, PROCESSED	CHEESE PREPARATION, PROCESSED	A0282 B1134 C0245 E0001 F0022 G0003 H0119 H0306 J0001 K0003 M0001 N0001 P0024	
F17614	CHEESE PRODUCT	CHEESE PRODUCT	A0115 B1134 C0245 E0001 F0001 G0003 H0119 J0001 K0003 M0001 N0001 P0024	
F17214	CHEESE PRODUCT, PROCESSED	CHEESE PRODUCT, PROCESSED	A0115 B1134 C0245 E0001 F0001 G0003 H0119 J0001 K0003 M0001 N0001 P0024	
F15262	CHEESE PRODUCT, SUBSTITUTE OR IMITATION	CHEESE PRODUCT, SUBSTITUTE OR IMITATION	A0128 B1134 C0113 E0151 F0001 G0003 H0107 H0208 H0221 J0001 K0003 M0001 N0001 P0024	
F7179	CHEESE QUICHE	CHEESE QUICHE	A0100 B1713 C0225 E0105 F0001 G0003 H0143 H0207 H0242 J0001 K0003 M0001 N0001 P0024	
F4655	CHEESE RAVIOLI WITH CHEESE SAUCE	CHEESE RAVIOLI WITH CHEESE SAUCE	A0220 B1079 C0208 E0134 F0001 G0003 H0143 H0186 H0207 H0227 J0001 K0033 M0001 N0001 P0024	
F15939	CHEESE RIND, EDIBLE	CHEESE RIND, EDIBLE	A0115 B0001 C0001 E0151 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F4717	CHEESE SALAD DRESSING	CHEESE SALAD DRESSING	A0136 B1017 C0190 E0110 F0014 G0003 H0143 H0200 H0227 J0001 K0003 M0001 N0001 P0024	
F4042	CHEESE SAUCE	CHEESE SAUCE	A0286 B1201 C0245 E0119 F0014 G0003 H0143 H0227 J0001 K0003 M0001 N0001 P0024	
F3574	CHEESE SOLIDS PRODUCT, ENZYME-MODIFIED	CHEESE SOLIDS PRODUCT, ENZYME-MODIFIED	A0115 B1134 C0245 E0151 F0001 G0003 H0119 H0127 J0001 K0003 M0001 N0001 P0024	
F2019	CHEESE SPREAD	CHEESE SPREAD	A0282 B1201 C0245 E0144 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F15063	CHEESE SPREAD ANALOG	CHEESE SPREAD ANALOG	A0128 B1134 C0113 E0144 F0001 G0003 H0107 H0208 H0221 J0001 K0003 M0001 N0001 P0024	
F15644	CHEESE SPREAD WITH ADDED INGREDIENTS, PROCESSED	CHEESE SPREAD WITH ADDED INGREDIENTS, PROCESSED	A0282 B1134 C0245 E0151 F0001 G0003 H0119 H0225 J0001 K0003 M0001 N0001 P0024	
F15194	CHEESE SPREAD WITH FRUITS, VEGETABLES OR MEATS, PASTEURIZED	CHEESE SPREAD WITH FRUITS, VEGETABLES OR MEATS, PASTEURIZED	A0266 B1201 C0245 E0151 F0018 G0003 H0107 H0147 H0191 H0212 J0135 K0003 M0001 N0001 P0024	
F3530	CHEESE SPREAD WITH MEAT FLAVORING	CHEESE SPREAD WITH MEAT FLAVORING	A0282 B1201 C0245 E0144 F0001 G0003 H0107 H0227 J0001 K0003 M0001 N0001 P0024	
F15192	CHEESE SPREAD, PASTEURIZED	CHEESE SPREAD, PASTEURIZED	A0266 B1201 C0245 E0151 F0018 G0003 H0107 H0242 H0253 J0135 K0003 M0001 N0001 P0024	
F15643	CHEESE SPREAD, PROCESSED	CHEESE SPREAD, PROCESSED	A0109 B1134 C0245 E0151 F0001 G0003 H0119 J0001 K0003 M0001 N0001 P0024	
F2014	CHEESE STICK	CHEESE STICK	A0228 B1312 C0208 E0140 F0014 G0001 H0143 H0150 H0151 H0221 J0001 K0003 M0001 N0001 P0024	
F3869	CHEESE SUBSTITUTE	CHEESE SUBSTITUTE	A0128 B0001 C0001 E0151 F0001 G0003 H0117 J0001 K0003 M0001 N0001 P0024	
F16931	CHEESE SUBSTITUTES AND IMITATIONS MIXES	CHEESE SUBSTITUTES AND IMITATIONS MIXES	A0128 B0001 C0001 E0001 F0001 G0003 H0107 H0138 H0208 H0221 J0001 K0003 M0001 N0001 P0024 Z0074	
F4415	CHEESE THIN CRACKER, DIETETIC	CHEESE THIN CRACKER, DIETETIC	A0242 B1312 C0208 E0140 F0014 G0003 H0143 H0227 H0263 J0001 K0003 M0001 N0001 P0023 P0024	
F3871	CHEESE TURNOVER	CHEESE TURNOVER	A0100 B0001 C0001 E0105 F0014 G0001 H0143 H0152 J0001 K0003 M0001 N0001 P0024	
F3560	CHEESE WHEY	CHEESE WHEY	A0148 B1201 C0244 E0123 F0001 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F15640	CHEESE WITH ADDED INGREDIENTS, PROCESSED	CHEESE WITH ADDED INGREDIENTS, PROCESSED	A0282 B1134 C0245 E0151 F0001 G0003 H0119 H0225 J0001 K0003 M0001 N0001 P0024	
F16656	CHEESE, "FROMAGE FIN" TYPE	CHEESE, "FROMAGE FIN" TYPE	A0115 B1134 C0245 E0151 F0001 G0003 H0119 J0001 K0003 M0001 N0001 P0024	
F3693	CHEESE, 2% MILK	CHEESE, 2% MILK	A0187 B1201 C0245 E0151 F0001 G0003 H0119 H0247 J0001 K0003 M0001 N0001 P0024	
F3652	CHEESE, ALCOHOL ADDED	CHEESE, ALCOHOL ADDED	A0115 B1134 C0245 E0151 F0001 G0003 H0119 H0160 J0001 K0003 M0001 N0001 P0024	
F16717	CHEESE, AMSTERDAM	CHEESE, AMSTERDAM	A0168 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024	
F4603	CHEESE, ARTIFICIAL	CHEESE, ARTIFICIAL	A0128 B1017 C0190 E0151 F0014 G0003 H0117 J0001 K0003 M0001 N0001 P0024	
F15064	CHEESE, ASIAGO FRESH	CHEESE, ASIAGO FRESH	A0281 B1201 C0245 E0151 F0001 G0003 H0253 H0326 J0001 K0003 M0001 N0001 P0024	
F15066	CHEESE, ASIAGO MEDIUM	CHEESE, ASIAGO MEDIUM	A0186 B1201 C0245 E0151 F0001 G0003 H0293 H0324 H0328 J0001 K0003 M0001 N0001 P0024	
F15067	CHEESE, ASIAGO OLD	CHEESE, ASIAGO OLD	A0290 B1201 C0245 E0151 F0001 G0003 H0294 H0324 H0328 J0001 K0003 M0001 N0001 P0024	
F3515	CHEESE, BLENDED	CHEESE, BLENDED	A0282 B1201 C0245 E0001 F0001 G0003 H0119 J0001 K0003 M0001 N0001 P0024	
F16944	CHEESE, BLENDED, PASTEURIZED	CHEESE, BLENDED, PASTEURIZED	A0145 B1201 C0245 E0151 F0018 G0003 H0119 J0135 K0003 M0001 N0001 P0024	
F17736	CHEESE, BLUE VEIN	CHEESE, BLUE VEIN		
F16711	CHEESE, BUTTERKASE	CHEESE, BUTTERKASE	A0168 B1201 C0245 E0151 F0001 G0003 H0253 H0327 J0001 K0003 M0001 N0001 P0024	
F3513	CHEESE, CANNED	CHEESE, CANNED	A0115 B1134 C0245 E0151 F0014 G0003 H0119 J0123 K0001 M0204 N0024 P0024	
F16854	CHEESE, COLBY, LOW SODIUM	CHEESE, COLBY, LOW SODIUM	A0186 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024 P0156	
F16712	CHEESE, COULOMMIERS	CHEESE, COULOMMIERS	A0314 B1201 C0245 E0151 F0001 G0003 H0253 H0324 H0330 J0001 K0003 M0001 N0001 P0024	
F16728	CHEESE, DANABLU	CHEESE, DANABLU	A0168 B1201 C0245 E0151 F0001 G0003 H0253 H0331 J0001 K0003 M0001 N0001 P0024	
F3868	CHEESE, DEHYDRATED	CHEESE, DEHYDRATED	A0187 B1134 C0245 E0151 F0001 G0003 H0107 H0138 J0116 K0003 M0001 N0001 P0024	
F17740	CHEESE, DRIED	CHEESE, DRIED		
F16741	CHEESE, EXTRA HARD GRATING	CHEESE, EXTRA HARD GRATING	A0310 B1134 C0245 E0151 F0001 G0003 H0253 H0324 H0328 J0001 K0003 M0001 N0001 P0024	
F16709	CHEESE, FREISE	CHEESE, FREISE	A0186 A0311 B1201 C0245 E0151 F0001 G0003 H0151 H0253 H0324 H0328 J0001 K0003 M0001 N0001 P0024	
F16643	CHEESE, FRIED	CHEESE, FRIED	A0115 B1134 C0245 E0151 F0014 G0025 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F16647	CHEESE, FRYING, LOW-FAT	CHEESE, FRYING, LOW-FAT	A0115 B1134 C0245 E0151 F0001 G0003 H0107 H0247 H0253 J0001 K0003 M0001 N0001 P0024 P0039	
F16940	CHEESE, GRANULAR CURD	CHEESE, GRANULAR CURD	A0186 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024	
F3661	CHEESE, GREEN-COLORED	CHEESE, GREEN-COLORED	A0110 B1201 C0245 E0151 F0018 G0003 H0107 H0227 J0135 K0003 M0001 N0001 P0024	
F16752	CHEESE, GUDBRANDSDALSOST	CHEESE, GUDBRANDSDALSOST	A0115 B2245 C0113 E0151 F0022 G0003 H0138 H0324 J0001 K0003 M0001 N0001 P0024	
F16727	CHEESE, HARZER	CHEESE, HARZER	A0314 B1201 C0245 E0151 F0018 G0003 H0248 H0253 H0327 J0135 K0003 M0001 N0001 P0024	
F17735	CHEESE, HARZER KASE	CHEESE, HARZER KASE		
F16713	CHEESE, HERRGARDSOST	CHEESE, HERRGARDSOST	A0186 A0311 B1201 C0245 E0151 F0018 G0003 H0253 H0328 J0135 K0003 M0001 N0001 P0024	
F16714	CHEESE, HUSHALLSOST	CHEESE, HUSHALLSOST	A0312 B1201 C0245 E0151 F0018 G0003 H0227 H0253 H0328 J0135 K0003 M0001 N0001 P0024	
F16708	CHEESE, LEIDSE	CHEESE, LEIDSE	A0186 A0311 B1201 C0245 E0151 F0001 G0003 H0253 H0324 H0328 J0001 K0003 M0001 N0001 P0024	
F3902	CHEESE, LOWFAT	CHEESE, LOWFAT	A0187 B1201 C0245 E0151 F0001 G0003 H0119 H0247 J0001 K0003 M0001 N0001 P0024 P0039	
F10967	CHEESE, MADE FROM BUFFALO MILK	CHEESE, MADE FROM BUFFALO MILK	A0187 B1476 C0245 E0151 F0001 G0003 H0107 J0001 K0003 M0001 N0001 P0024	
F11447	CHEESE, MADE FROM COW'S MILK	CHEESE, MADE FROM COW'S MILK	A0187 B1201 C0245 E0151 F0001 G0003 H0107 J0001 K0003 M0001 N0001 P0024	
F10968	CHEESE, MADE FROM SHEEP'S MILK	CHEESE, MADE FROM SHEEP'S MILK	A0187 B2610 C0245 E0151 F0001 G0003 H0107 J0001 K0003 M0001 N0001 P0024	
F16716	CHEESE, MARIBO	CHEESE, MARIBO	A0312 B1201 C0245 E0151 F0001 G0003 H0117 H0253 H0326 J0001 K0003 M0001 N0001 P0024	
F16613	CHEESE, MATURING	CHEESE, MATURING	A0187 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F16537	CHEESE, MATURING RENNET	CHEESE, MATURING RENNET	A0187 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F16572	CHEESE, MATURING, HARD	CHEESE, MATURING, HARD	A0311 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F16573	CHEESE, MATURING, SEMI-HARD	CHEESE, MATURING, SEMI-HARD	A0312 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F16584	CHEESE, MELTED	CHEESE, MELTED	A0115 B1134 C0245 E0144 F0022 G0001 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F1038	CHEESE, MEXICAN-STYLE SOFT WHITE	CHEESE, MEXICAN-STYLE SOFT WHITE	A0281 B1201 C0245 E0151 F0018 G0003 H0107 J0001 K0003 M0001 N0001 P0024	
F15864	CHEESE, MOLD-RIPENED, PACKED IN HERMETICALLY SEALED CONTAINER	CHEESE, MOLD-RIPENED, PACKED IN HERMETICALLY SEALED CONTAINER	A0281 A0313 B1134 C0245 E0151 F0001 G0003 H0253 H0331 J0001 K0001 M0194 N0001 P0024	
F16861	CHEESE, MONTEREY, HIGH MOISTURE	CHEESE, MONTEREY, HIGH MOISTURE	A0281 B1201 C0245 E0151 F0018 G0003 H0253 H0328 J0135 K0003 M0001 N0001 P0024	
F16863	CHEESE, MUENSTER, FOR MANUFACTURING	CHEESE, MUENSTER, FOR MANUFACTURING	A0281 A0313 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024	
F3504	CHEESE, NATURAL	CHEESE, NATURAL	A0187 B1134 C0245 E0151 F0001 G0003 H0119 J0001 K0003 M0001 N0001 P0024	
F2983	CHEESE, NATURAL WITH MARGARINE	CHEESE, NATURAL WITH MARGARINE	A0128 B1201 C0245 E0001 F0001 G0003 H0107 H0208 H0272 J0001 K0003 M0001 N0001 P0024	
F16715	CHEESE, NORVEGIA	CHEESE, NORVEGIA	A0312 B1201 C0245 E0151 F0018 G0003 H0253 H0328 J0135 K0003 M0001 N0001 P0024	
F1076	CHEESE, NOT FURTHER SPECIFIED	CHEESE, NOT FURTHER SPECIFIED	A0001 B1134 C0245 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F16864	CHEESE, NUWORLD	CHEESE, NUWORLD	A0281 B1201 C0245 E0151 F0001 G0003 H0253 H0331 J0001 K0003 M0001 N0001 P0024	
F4337	CHEESE, PROCESSED	CHEESE, PROCESSED	A0282 B1201 C0245 E0151 F0018 G0003 H0107 J0135 K0003 M0001 N0001 P0024	
F17466	CHEESE, PROCESSED, FLAVORED	CHEESE, PROCESSED, FLAVORED	A0115 B1134 C0245 E0151 F0001 G0003 H0117 H0119 J0001 K0003 M0001 N0001 P0024	
F17737	CHEESE, RAHFRISCHKASE	CHEESE, RAHFRISCHKASE		
F17574	CHEESE, RED MARBLED	CHEESE, RED MARBLED	A0115 B1134 C0245 E0151 F0001 G0003 H0253 J0001 K0003 M0001 N0001 P0024	
F15069	CHEESE, REGGIANO	CHEESE, REGGIANO	A0290 B1201 C0245 E0151 F0001 G0003 H0107 H0247 H0253 J0001 K0003 M0001 N0001 P0024	
F16624	CHEESE, RENNET, HARD SALTED, MATURING IN BRINE	CHEESE, RENNET, HARD SALTED, MATURING IN BRINE	A0168 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0018 M0001 N0001 P0024	
F16878	CHEESE, RIPENED	CHEESE, RIPENED	A0168 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F16645	CHEESE, SCALDED CAROWAY	CHEESE, SCALDED CAROWAY	A0115 B1134 C0245 E0151 F0022 G0003 H0119 H0151 J0001 K0003 M0001 N0001 P0024	
F7846	CHEESE, SHREDDED	CHEESE, SHREDDED	A0115 B1134 C0245 E0100 F0001 G0003 H0119 J0001 K0003 M0001 N0001 P0024	
F16873	CHEESE, SKIM MILK, FOR MANUFACTURING	CHEESE, SKIM MILK, FOR MANUFACTURING	A0281 B1201 C0245 E0151 F0001 G0003 H0107 H0248 H0253 J0001 K0003 M0001 N0001 P0024	
F4807	CHEESE, SLICED	CHEESE, SLICED	A0115 B1134 C0245 E0137 F0001 G0003 H0119 J0001 K0003 M0001 N0001 P0024	
F16027	CHEESE, SLICED, PREPACKED	CHEESE, SLICED, PREPACKED	A0115 B1134 C0245 E0137 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F3860	CHEESE, SMOKED	CHEESE, SMOKED	A0186 B1201 C0245 E0001 F0001 G0003 H0107 H0172 J0001 K0003 M0001 N0001 P0024	
F10700	CHEESE, SOFT	CHEESE, SOFT	A0138 B1201 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F16635	CHEESE, SOFT, COMMERCIAL	CHEESE, SOFT, COMMERCIAL	A0314 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F16644	CHEESE, SPECIALTY	CHEESE, SPECIALTY	A0115 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F16941	CHEESE, STIRRED CURD	CHEESE, STIRRED CURD	A0186 A0311 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024	
F16710	CHEESE, SVECIA	CHEESE, SVECIA	A0168 B1201 C0245 E0151 F0018 G0003 H0151 H0253 H0328 J0135 K0003 M0001 N0001 P0024	
F1514	CHEESE, UNPASTEURIZED	CHEESE, UNPASTEURIZED	A0115 B1134 C0245 E0151 F0003 G0003 H0119 J0001 K0003 M0001 N0001 P0024 P0121	
F16028	CHEESE, UNRIPENED	CHEESE, UNRIPENED	A0185 B1134 C0245 E0151 F0001 G0003 H0107 J0001 K0003 M0001 N0001 P0024	
F15867	CHEESE, VARIETAL, HARD	CHEESE, VARIETAL, HARD	A0186 A0311 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F15869	CHEESE, VARIETAL, PRESSED	CHEESE, VARIETAL, PRESSED	A0168 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F15868	CHEESE, VARIETAL, SEMI-HARD	CHEESE, VARIETAL, SEMI-HARD	A0312 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F15870	CHEESE, VARIETAL, SOFT	CHEESE, VARIETAL, SOFT	A0138 A0314 B1134 C0245 E0151 F0001 G0003 H0107 H0253 J0001 K0003 M0001 N0001 P0024	
F16858	CHEESE, WASHED CURD, FOR MAUFACTURING	CHEESE, WASHED CURD, FOR MAUFACTURING	A0186 B1201 C0245 E0151 F0001 G0003 H0107 J0001 K0003 M0001 N0001 P0024	
F2998	CHEESE, WAX-COATED	CHEESE, WAX-COATED	A0187 B1134 C0245 E0151 F0001 G0003 H0001 J0001 K0003 M0004 N0015 P0024	
F5272	CHEESE, WHIPPED	CHEESE, WHIPPED	A0115 B1134 C0245 E0119 F0001 G0003 H0119 H0358 J0001 K0003 M0001 N0001 P0024	
F16541	CHEESE, WHITE	CHEESE, WHITE	A0187 B1134 C0235 E0151 F0001 G0003 H0119 J0001 K0003 M0001 N0001 P0024	
F4654	CHEESEBURGER	CHEESEBURGER	A0218 B1161 C0268 E0105 F0014 G0001 H0143 H0152 H0207 J0001 K0003 M0001 N0001 P0024	
F1729	CHEESECAKE	CHEESECAKE	A0210 B1201 C0245 E0105 F0001 G0003 H0101 H0158 H0178 H0186 H0242 J0001 K0003 M0001 N0001 P0024	
F11873	CHEESECAKE BATTER	CHEESECAKE BATTER	A0115 B1201 C0245 E0135 F0003 G0003 H0101 H0108 H0178 H0242 J0001 K0001 M0001 N0001 P0024	
F4742	CHEESECAKE, FROZEN	CHEESECAKE, FROZEN	A0210 B1201 C0245 E0105 F0014 G0005 H0101 H0158 H0178 H0186 H0242 J0136 K0003 M0001 N0001 P0024	
F4890	CHEESE-FLAVORED PUFF	CHEESE-FLAVORED PUFF	A0228 B1379 C0155 E0105 F0014 G0003 H0150 H0200 H0221 H0227 H0268 J0001 K0003 M0001 N0001 P0024	
F17266	CHEESEFURTER	CHEESEFURTER	A0221 B1134 C0103 E0105 F0014 G0003 H0107 H0143 H0172 H0227 H0253 J0001 K0003 M0001 N0001 P0024	
F5788	CHERRIES IN VANILLA ICE CREAM	CHERRIES IN VANILLA ICE CREAM	A0227 B1201 C0113 E0138 F0018 G0003 H0100 H0136 H0147 H0178 J0136 K0003 M0001 N0001 P0024	
F2245	CHERRY AND APPLE BEVERAGE BASE, DRY	CHERRY AND APPLE BEVERAGE BASE, DRY	A0241 B0001 C0001 E0106 F0001 G0003 H0138 H0200 H0202 H0227 J0116 K0003 M0001 N0001 P0024 Z0089	
F6156	CHERRY AND APPLE JUICE DRINK	CHERRY AND APPLE JUICE DRINK	A0130 B1140 C0140 E0123 F0001 G0003 H0136 H0148 J0001 K0003 M0001 N0001 P0024	
F3055	CHERRY CIDER	CHERRY CIDER	A0127 B1306 C0140 E0109 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F3064	CHERRY CIDER, CARBONATED	CHERRY CIDER, CARBONATED	A0127 B1306 C0140 E0109 F0001 G0003 H0175 J0001 K0003 M0001 N0001 P0024	
F11033	CHERRY CREAM CANDY, CHOCOLATE AND PEANUT COATED	CHERRY CREAM CANDY, CHOCOLATE AND PEANUT COATED	A0293 B1012 C0108 E0147 F0001 G0003 H0119 H0124 H0147 H0227 H0231 H0253 H0355 H0391 J0001 K0003 M0001 N0001 P0024	
F6941	CHERRY DILL PICKLE	CHERRY DILL PICKLE	A0271 B1404 C0140 E0150 F0003 G0003 H0107 H0147 H0173 H0190 H0200 H0227 H0253 J0104 K0022 M0001 N0001 P0024	
F11155	CHERRY FILLING, ASPARTAME SWEETENED	CHERRY FILLING, ASPARTAME SWEETENED	A0143 B1306 C0139 E0134 F0022 G0001 H0108 H0209 J0001 K0003 M0001 N0001 P0024 P0045	
F2847	CHERRY FRUIT FILLING, ARTIFICIALLY SWEETENED	CHERRY FRUIT FILLING, ARTIFICIALLY SWEETENED	A0143 B1306 C0139 E0134 F0001 G0003 H0108 J0001 K0003 M0001 N0001 P0024 P0045	
F5024	CHERRY FRUITCAKE	CHERRY FRUITCAKE	A0210 B0001 C0001 E0105 F0014 G0005 H0136 H0147 H0152 H0186 J0001 K0003 M0001 N0001 P0024	
F5025	CHERRY GENOA CAKE	CHERRY GENOA CAKE	A0210 B1012 C0210 E0147 F0014 G0005 H0147 H0152 H0186 J0001 K0003 M0001 N0001 P0024	
F3117	CHERRY GLACE	CHERRY GLACE	A0143 B1306 C0139 E0150 F0014 G0003 H0136 H0138 H0182 J0001 K0003 M0001 N0001 P0024	
F5794	CHERRY ICE CREAM	CHERRY ICE CREAM	A0227 B1201 C0113 E0138 F0018 G0003 H0136 H0147 H0178 J0136 K0003 M0001 N0001 P0024	
F5449	CHERRY ICE, NATURALLY-FLAVORED	CHERRY ICE, NATURALLY-FLAVORED	A0206 B1012 C0210 E0139 F0001 G0003 H0147 H0200 J0136 K0003 M0001 N0001 P0024	
F16133	CHERRY IN COCKTAILS	CHERRY IN COCKTAILS	A0143 B1306 C0139 E0150 F0001 G0003 H0136 H0150 H0227 J0001 K0003 M0001 N0001 P0024	
F2953	CHERRY IN RUM-FLAVORED SYRUP	CHERRY IN RUM-FLAVORED SYRUP	A0143 B1306 C0139 E0150 F0001 G0003 H0136 H0160 J0001 K0024 M0001 N0001 P0024	
F16132	CHERRY IN SYRUP	CHERRY IN SYRUP	A0143 B1306 C0167 E0151 F0001 G0003 H0136 J0001 K0023 M0001 N0001 P0024	
F1252	CHERRY JAM	CHERRY JAM	A0251 B1306 C0139 E0134 F0014 G0003 H0136 J0001 K0003 M0001 N0001 P0024	
F1144	CHERRY JUICE	CHERRY JUICE	A0127 B1306 C0140 E0123 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F5860	CHERRY LIQUEUR	CHERRY LIQUEUR	A0240 B1347 C0174 E0123 F0014 G0003 H0147 H0158 H0232 H0270 J0104 K0003 M0130 N0040 P0024	
F9494	CHERRY NECTAR	CHERRY NECTAR	A0196 B1306 C0140 E0121 F0001 G0003 H0136 H0148 J0001 K0003 M0001 N0001 P0024	
F10552	CHERRY PEPPER, HOT, RAW	CHERRY PEPPER, HOT, RAW	A0152 B2556 C0169 E0150 F0003 G0003 H0001 J0001 K0001 M0001 N0001 P0024	
F6764	CHERRY PIE	CHERRY PIE	A0253 B1306 C0139 E0105 F0014 G0005 H0152 H0207 J0001 K0003 M0001 N0001 P0024	
F6780	CHERRY PIE MIX	CHERRY PIE MIX	A0143 B1306 C0139 E0134 F0001 G0003 H0136 J0001 K0003 M0001 N0001 P0024 Z0074	
F6762	CHERRY PIE, FROZEN	CHERRY PIE, FROZEN	A0253 B1306 C0139 E0105 F0014 G0005 H0152 H0207 J0136 K0003 M0001 N0001 P0024	
F16312	CHERRY PRESERVED IN AIRTIGHT CONTAINERS	CHERRY PRESERVED IN AIRTIGHT CONTAINERS	A0143 B1306 C0167 E0151 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024	
F6995	CHERRY PRESERVES	CHERRY PRESERVES	A0251 B1306 C0137 E0134 F0014 G0003 H0280 J0001 K0003 M0001 N0001 P0024	
