FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
CR1959	RED CABBAGE, COOKED	RED CABBAGE, COOKED	A0152 B2072 C0151 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1960	CARROT, RAW	CARROT, RAW	A0152 B1227 C0238 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CR1965	CARROT, FROZEN	CARROT, FROZEN	A0152 B1227 C0238 E0151 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024
CR1966	CARROT, APLUS, RAW	CARROT, APLUS, RAW	A0152 B1227 C0238 E0151 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CR1967	CARROT, APLUS, COOKED	CARROT, APLUS, COOKED	A0152 B1227 C0238 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1968	CARROT LEAF, AGGREGATE (RAW, COOKED)	CARROT LEAF, AGGREGATE (RAW, COOKED)	A0152 B1227 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1970	CARROT, COOKED	CARROT, COOKED	A0152 B1227 C0238 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1972	CASSAVA LEAF, AGGREGATE (RAW, COOKED)	CASSAVA LEAF, AGGREGATE (RAW, COOKED)	A0152 B1352 C0200 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1975	WINTER SQUASH, AGGREGATE (COOKED, CANNED, FROZEN)	WINTER SQUASH, AGGREGATE (COOKED, CANNED, FROZEN)	A0152 B1189 C0229 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1976	SUMMER SQUASH, AGGREGATE (COOKED, CANNED, FROZEN)	SUMMER SQUASH, AGGREGATE (COOKED, CANNED, FROZEN)	A0152 B1190 C0167 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1978	SWEET POTATO FLAKES, DRY	SWEET POTATO FLAKES, DRY	A0152 B1106 C0240 E0100 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CR1979	SWEET POTATO, FROZEN	SWEET POTATO, FROZEN	A0152 B1106 C0238 E0151 F0001 G0003 H0001 J0136 K0003 M0001 N0001 P0024
CR1980	SWEET POTATO, AGGREGATE (COOKED, CANNED)	SWEET POTATO, AGGREGATE (COOKED, CANNED)	A0152 B1106 C0238 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1981	SWEET POTATO, RAW	SWEET POTATO, RAW	A0152 B1106 C0238 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR1982	WINTER SQUASH, COOKED	WINTER SQUASH, COOKED	A0152 B1189 C0229 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1983	WINTER SQUASH, RAW	WINTER SQUASH, RAW	A0152 B1189 C0229 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR1984	SUMMER SQUASH, COOKED	SUMMER SQUASH, COOKED	A0152 B1190 C0167 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1985	SUMMER SQUASH, RAW	SUMMER SQUASH, RAW	A0152 B1190 C0167 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR1986	EGGPLANT, RAW	EGGPLANT, RAW	A0152 B1458 C0167 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR1987	EGGPLANT, COOKED	EGGPLANT, COOKED	A0152 B1458 C0167 E0151 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1989	OKRA, AGGREGATE (RAW, COOKED)	OKRA, AGGREGATE (RAW, COOKED)	A0152 B1241 C0169 E0151 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CR1990	TOMATO, RAW	TOMATO, RAW	A0152 B1276 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
CR1991	TOMATO, AGGREGATE (COOKED, CANNED)	TOMATO, AGGREGATE (COOKED, CANNED)	A0152 B1276 C0140 E0150 F0014 G0001 H0001 J0001 K0001 M0001 N0001 P0024
