FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
CX147-1985 	COCOA BUTTER CONFECTIONERY 	COCOA BUTTER CONFECTIONERY 	A0188 B1012 C0108 E0151 F0001 G0003 H0297 H0263 H0253 H0119 J0001 K0003 M0001 N0001 P0024
CX148-1985 	GUAVA NECTAR PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	GUAVA NECTAR PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	A0196 B1333 C0230 E0121 F0014 G0003 H0136 J0123 K0003 M0194 N0001 P0024
CX149-1985 	MANGO PRODUCTS, LIQUID, PULPY, PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	MANGO PRODUCTS, LIQUID, PULPY, PRESERVED EXCLUSIVELY BY PHYSICAL MEANS 	A0196 B1270 C0229 E0121 F0014 G0003 H0136 J0123 K0003 M0194 N0001 P0024
CX15-1981 	GRAPEFRUIT, CANNED 	GRAPEFRUIT, CANNED 	A0143 B1507 C0229 E0122 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX150-1985 	SALT, FOOD GRADE 	SALT, FOOD GRADE 	A0134 B1655 C0005 E0143 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX151-1985 	GARI 	GARI 	A0149 B1352 C0240 E0136 F0022 G0001 H0138 H0119 J0116 K0003 M0001 N0001 P0024
CX152-1985 	WHEAT FLOUR 	WHEAT FLOUR 	A0149 B1312 C0208 E0106 F0003 G0001 H0138 J0116 K0001 M0001 N0001 P0024
CX153-1985 	MAIZE (CORN) 	MAIZE (CORN) 	A0152 B1380 C0133 E0150 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024
CX154-1985 	MAIZE (CORN) MEAL, WHOLE 	MAIZE (CORN) MEAL, WHOLE 	A0149 B1379 C0133 E0117 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX155-1985A 	MAIZE (CORN) MEAL, DEGERMED 	MAIZE (CORN) MEAL, DEGERMED 	A0149 B1379 C0208 E0117 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX155-1985B 	MAIZE (CORN) GRITS, DEGERMED 	MAIZE (CORN) GRITS, DEGERMED 	A0149 B1379 C0208 E0117 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX159-1987 	MANGO, CANNED 	MANGO, CANNED 	A0143 B1270 C0229 E0122 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
CX16-1981A 	GREEN BEAN, CANNED 	GREEN BEAN, CANNED 	A0152 B1371 C0169 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX16-1981B 	WAX BEAN, CANNED 	WAX BEAN, CANNED 	A0152 B1351 C0169 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX160-1987 	MANGO CHUTNEY 	MANGO CHUTNEY 	A0179 B1270 C0229 E0134 F0014 G0003 H0136 H0212 H0229 H0149 J0123 K0003 M0194 N0001 P0024
CX162-1987A 	VINEGAR 	VINEGAR 	A0302 B0001 C0001 E0123 F0001 G0003 H0253 H0123 J0001 K0003 M0001 N0001 P0024
CX162-1987B 	WINE VINEGAR 	WINE VINEGAR 	A0302 B1329 C0167 E0123 F0001 G0003 H0253 H0123 J0001 K0003 M0001 N0001 P0024
CX162-1987C 	FRUIT (WINE) VINEGAR, BERRY (WINE) VINEGAR OR CIDER VINEGAR 	FRUIT (WINE) VINEGAR, BERRY (WINE) VINEGAR OR CIDER VINEGAR 	A0302 B1140 C0140 E0123 F0001 G0003 H0253 H0123 J0001 K0003 M0001 N0001 P0024
CX162-1987D 	SPIRIT VINEGAR 	SPIRIT VINEGAR 	A0302 B1347 C0174 E0123 F0001 G0003 H0123 H0253 H0270 J0001 K0003 M0001 N0001 P0024
CX162-1987E 	GRAIN VINEGAR 	GRAIN VINEGAR 	A0302 B1324 C0155 E0123 F0001 G0003 H0253 H0123 J0001 K0003 M0001 N0001 P0024
CX162-1987F 	MALT VINEGAR 	MALT VINEGAR 	A0302 B1230 C0102 E0123 F0001 G0003 H0253 H0123 J0001 K0003 M0001 N0001 P0024
CX162-1987G 	MALT VINEGAR, DISTILLED 	MALT VINEGAR, DISTILLED 	A0302 B1230 C0102 E0123 F0001 G0003 H0253 H0123 H0270 J0001 K0003 M0001 N0001 P0024
CX162-1987H 	WHEY VINEGAR 	WHEY VINEGAR 	A0302 B1134 C0244 E0109 F0001 G0003 H0123 H0253 J0001 K0003 M0001 N0001 P0024
CX162-1987J 	HONEY VINEGAR 	HONEY VINEGAR 	A0302 B1347 C0188 E0109 F0001 G0003 H0253 H0123 J0001 K0003 M0001 N0001 P0024
CX163-1987 	WHEAT GLUTEN 	WHEAT GLUTEN 	A0129 B1312 C0177 E0122 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX17-1981 	APPLESAUCE, CANNED 	APPLESAUCE, CANNED 	A0143 B1245 C0213 E0110 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
CX18-1981 	SWEET CORN, CANNED 	SWEET CORN, CANNED 	A0152 B1380 C0133 E0001 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
CX20-1981 	SOYA BEAN OIL, EDIBLE 	SOYA BEAN OIL, EDIBLE 	A0129 B1452 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX21-1981 	ARACHIS OIL, EDIBLE 	ARACHIS OIL, EDIBLE 	A0129 B1337 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX22-1981 	COTTONSEED OIL, EDIBLE 	COTTONSEED OIL, EDIBLE 	A0129 B1210 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX23-1981 	SUNFLOWERSEED OIL, EDIBLE 	SUNFLOWERSEED OIL, EDIBLE 	A0129 B1547 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX24-1981 	RAPESEED OIL, EDIBLE 	RAPESEED OIL, EDIBLE 	A0129 B1248 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX25-1981 	MAIZE OIL, EDIBLE 	MAIZE OIL, EDIBLE 	A0129 B1379 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX26-1981 	SESAME SEED OIL, EDIBLE 	SESAME SEED OIL, EDIBLE 	A0129 B1226 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX27-1981 	SAFFLOWERSEED OIL, EDIBLE 	SAFFLOWERSEED OIL, EDIBLE 	A0129 B1548 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX28-1981 	LARD 	LARD 	A0129 B1136 C0190 E0119 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX29-1981 	PORK FAT, RENDERED 	PORK FAT, RENDERED 	A0129 B1136 C0190 E0119 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX3-1981 	PACIFIC SALMON, CANNED 	PACIFIC SALMON, CANNED 	A0267 B1126 C0243 E0152 F0014 G0003 H0001 J0123 K0001 M0204 N0001 P0024 Z0061
CX30-1981 	PREMIER JUS 	PREMIER JUS 	A0129 B1161 C0190 E0119 F0022 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX31-1981 	TALLOW, EDIBLE 	TALLOW, EDIBLE 	A0129 B1134 C0190 E0119 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX32-1981 	MARGARINE 	MARGARINE 	A0231 B0001 C0190 E0119 F0018 G0003 H0306 H0297 J0135 K0003 M0001 N0001 P0024
CX33-1981 	OLIVE OIL 	OLIVE OIL 	A0129 B1299 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX34-1981 	MUSTARDSEED OIL 	MUSTARDSEED OIL 	A0129 B2069 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX36-1981 	PACIFIC SALMON, GUTTED, QUICK-FROZEN 	PACIFIC SALMON, GUTTED, QUICK-FROZEN 	A0267 B1126 C0105 E0150 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024 Z0061
CX37-1981 	SHRIMP OR PRAWN, CANNED 	SHRIMP OR PRAWN, CANNED 	A0267 B1237 C0173 E0150 F0014 G0003 H0001 J0123 K0011 M0204 N0001 P0024
CX38-1981 	EDIBLE FUNGI AND FUNGUS PRODUCTS 	EDIBLE FUNGI AND FUNGUS PRODUCTS 	A0152 B1261 C0144 E0001 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024
CX39-1981 	EDIBLE FUNGI, DRIED 	EDIBLE FUNGI, DRIED 	A0152 B1261 C0144 E0151 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX4-1981 	WHITE SUGAR 	WHITE SUGAR 	C0157 A0118 B1012 E0143 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX40-1981 	CHANTERELLE MUSHROOM, FRESH 	CHANTERELLE MUSHROOM, FRESH 	A0152 B1569 C0144 E0150 F0003 H0001 H0003 J0003 K0003 M0001 N0001 P0024
CX41-1981 	PEAS, QUICK-FROZEN 	PEAS, QUICK-FROZEN 	A0152 B1338 C0133 E0150 F0018 G0003 H0001 J0132 K0003 M0001 N0001 P0024
CX42-1981 	PINEAPPLE, CANNED 	PINEAPPLE, CANNED 	A0143 B1484 C0229 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX44-1981A 	APRICOT NECTAR 	APRICOT NECTAR 	A0196 B1529 C0139 E0121 F0014 G0003 H0136 J0123 K0003 M0194 N0001 P0024
CX44-1981B 	PEACH NECTAR 	PEACH NECTAR 	A0196 B1350 C0139 E0121 F0014 G0003 H0136 J0123 K0003 M0194 N0001 P0024
CX44-1981C 	PEAR NECTAR 	PEAR NECTAR 	A0196 B1344 C0139 E0121 F0014 G0003 H0136 J0123 K0003 M0194 N0001 P0024
CX45-1981 	ORANGE JUICE 	ORANGE JUICE 	A0127 B1339 C0140 E0114 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
CX46-1981 	GRAPEFRUIT JUICE 	GRAPEFRUIT JUICE 	A0127 B1507 C0140 E0114 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
CX47-1981 	LEMON JUICE 	LEMON JUICE 	A0127 B1275 C0140 E0114 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
CX48-1981 	APPLE JUICE 	APPLE JUICE 	A0127 B1245 C0140 E0109 F0014 G0003 H0200 J0123 K0003 M0194 N0001 P0024
CX49-1981 	TOMATO JUICE 	TOMATO JUICE 	A0264 B1276 C0140 E0114 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
CX5-1981 	POWDERED SUGAR 	POWDERED SUGAR 	A0118 B1378 C0157 E0106 F0014 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX50-1981A 	COD FILLET, QUICK FROZEN 	COD FILLET, QUICK FROZEN 	A0267 B1423 C0175 E0152 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024
CX50-1981B 	HADDOCK FILLET, QUICK-FROZEN 	HADDOCK FILLET, QUICK-FROZEN 	A0267 B1441 C0175 E0152 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024
CX51-1981 	OCEAN PERCH FILLET, QUICK-FROZEN 	OCEAN PERCH FILLET, QUICK-FROZEN 	A0267 B1153 C0175 E0152 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024
CX52-1981 	STRAWBERRY, QUICK-FROZEN 	STRAWBERRY, QUICK-FROZEN 	A0143 B1393 C0140 E0151 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024
CX53-1981 	LOW SODIUM FOOD 	LOW SODIUM FOOD 	A0001 B0001 C0001 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0156 P0024 P0078
CX54-1981 	DEXTROSE, POWDERED 	DEXTROSE, POWDERED 	A0118 B1379 C0222 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX55-1981 	MUSHROOM, CANNED 	MUSHROOM, CANNED 	A0152 B1467 C0150 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX56-1981 	ASPARAGUS, CANNED 	ASPARAGUS, CANNED 	A0152 B1415 C0186 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX57-1981 	TOMATO CONCENTRATE, PROCESSED 	TOMATO CONCENTRATE, PROCESSED 	A0152 B1276 C0229 E0001 F0001 G0003 H0001 G0003 H0001 J0001 K0003 M0194 N0001 P0024
CX58-1981 	GREEN PEAS, CANNED 	GREEN PEAS, CANNED 	A0152 B1338 C0133 E0150 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX59-1981 	PLUM, CANNED 	PLUM, CANNED 	A0143 B1206 C0167 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX6-1981 	SOFT SUGARS 	SOFT SUGARS 	A0118 B1012 C0210 E0143 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX60-1981 	RASPBERRY, CANNED 	RASPBERRY, CANNED 	A0143 B1494 C0140 E0150 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX61-1981 	PEAR, CANNED 	PEAR, CANNED 	A0143 B1344 C0167 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX62-1981 	STRAWBERRY, CANNED 	STRAWBERRY, CANNED 	A0143 B1393 C0140 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX63-1981 	APPLE JUICE, CONCENTRATED 	APPLE JUICE, CONCENTRATED 	A0127 B1245 C0140 E0102 F0014 G0003 H0138 H0200 J0123 K0003 M0194 N0001 P0024
CX64-1981 	ORANGE JUICE, CONCENTRATED 	ORANGE JUICE, CONCENTRATED 	A0127 B1339 C0140 E0121 F0014 G0003 H0138 J0123 K0003 M0194 N0001 P0024
CX66-1981 	OLIVE, TABLE 	OLIVE, TABLE 	A0152 B1299 C0137 E0151 F0001 G0001 H0001 J0001 K0011 M0194 N0001 P0024
CX67-1981 	RAISIN 	RAISIN 	A0143 B1329 C0137 E0150 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX68-1981 	MANDARIN ORANGE, CANNED 	MANDARIN ORANGE, CANNED 	A0143 B1429 C0229 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX69-1981 	RASPBERRY, QUICK-FROZEN 	RASPBERRY, QUICK-FROZEN 	A0143 B1494 C0140 E0150 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024
CX7-1981 	DEXTROSE ANHYDROUS 	DEXTROSE ANHYDROUS 	A0118 B1379 C0222 E0117 F0014 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX70-1981A 	TUNA, CANNED IN WATER 	TUNA, CANNED IN WATER 	A0267 B1269 C0125 E0152 F0014 G0003 H0001 J0123 K0017 M0204 N0001 P0024 Z0061
CX70-1981B 	TUNA, CANNED IN OIL 	TUNA, CANNED IN OIL 	A0267 B1269 C0125 E0152 F0014 G0003 H0263 J0123 K0021 M0204 N0001 P0024 Z0061
CX70-1981C 	BONITO, CANNED IN WATER 	BONITO, CANNED IN WATER 	A0267 B1264 C0125 E0152 F0014 G0003 H0001 J0123 K0017 M0204 N0001 P0024
CX70-1981D 	BONITO, CANNED IN OIL 	BONITO, CANNED IN OIL 	A0267 B1264 C0125 E0152 F0014 G0003 H0263 J0123 K0021 M0204 N0001 P0024
CX72-1981 	INFANT FORMULA 	INFANT FORMULA 	A0274 B0001 C0001 E0001 F0001 G0003 H0194 H0217 H0214 H0316 H0309 H0310 H0311 H0216 H0195 H0162 H0196 H0223 H0181 H0189 H0273 H0159 H0215 J0001 K0003 M0001 N0001 P0020 P0023
CX73-1981 	BABY FOOD, CANNED 	BABY FOOD, CANNED 	A0001 B0001 C0001 E0001 F0022 G0003 H0001 J0001 K0003 M0194 N0001 P0020
CX74-1981 	CEREAL-BASED FOODS, PROCESSED, FOR INFANTS AND CHILDREN 	CEREAL-BASED FOODS, PROCESSED, FOR INFANTS AND CHILDREN 	A0106 B1347 C0174 E0001 F0022 G0001 H0138 J0116 K0003 M0001 N0001 P0020
CX75-1981 	PEACH, QUICK-FROZEN 	PEACH, QUICK-FROZEN 	A0143 B1350 C0138 E0151 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024
CX76-1981 	BILBERRIES, QUICK-FROZEN 	BILBERRIES, QUICK-FROZEN 	A0143 B2013 C0140 E0150 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024
CX77-1981 	SPINACH, QUICK-FROZEN 	SPINACH, QUICK-FROZEN 	A0152 B1420 C0200 E0001 F0018 H0001 J0132 K0003 M0001 N0001 P0024
CX78-1981 	FRUIT COCKTAIL, CANNED 	FRUIT COCKTAIL, CANNED 	A0143 B1350 C0229 E0104 F0014 G0003 H0147 J0123 K0011 M0194 N0001 P0024
CX79-1981A 	JAM (FRUIT PRESERVES) 	JAM (FRUIT PRESERVES) 	A0251 B1140 C0213 E0134 F0014 G0003 H0136 J0001 K0003 M0203 N0001 P0024
CX79-1981B 	FRUIT JELLY 	FRUIT JELLY 	A0209 B1140 C0229 E0119 F0014 G0003 H0136 H0145 J0001 K0003 M0203 N0001 P0024
CX8-1981 	DEXTROSE MONOHYDRATE 	DEXTROSE MONOHYDRATE 	A0118 B1379 C0222 E0143 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX80-1981 	CITRUS MARMALADE 	CITRUS MARMALADE 	A0251 B1012 C0210 E0134 F0014 G0003 H0147 J0001 K0003 M0203 N0001 P0024
CX81-1981 	PEAS, CANNED MATURE PROCESSED 	PEAS, CANNED MATURE PROCESSED 	A0152 B1338 C0133 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024 Z0052
CX82-1981 	GRAPE JUICE 	GRAPE JUICE 	A0127 B1329 C0140 E0109 F0014 G0003 H0200 J0123 K0003 M0194 N0001 P0024
CX83-1981 	GRAPE JUICE, CONCENTRATED 	GRAPE JUICE, CONCENTRATED 	A0127 B1329 C0140 E0102 F0014 G0003 H0138 H0200 J0123 K0003 M0194 N0001 P0024
CX84-1981 	GRAPE JUICE, LABRUSCA TYPE, SWEETENED, CONCENTRATED 	GRAPE JUICE, LABRUSCA TYPE, SWEETENED, CONCENTRATED 	A0127 B2001 C0140 E0102 F0014 G0003 H0136 H0138 H0200 J0123 K0003 M0194 N0001 P0024
CX85-1981 	PINEAPPLE JUICE 	PINEAPPLE JUICE 	A0127 B1484 C0138 E0114 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024
CX86-1981 	COCOA BUTTER 	COCOA BUTTER 	A0129 B1318 C0190 E0119 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CX87-1981A 	CHOCOLATE 	CHOCOLATE 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 J0001 K0003 M0001 N0001 P0024
CX87-1981B 	CHOCOLATE, UNSWEETENED 	CHOCOLATE, UNSWEETENED 	A0272 B1318 C0190 E0147 F0001 G0003 H0231 H0119 H0253 J0001 K0003 M0001 N0001 P0024 P0105
CX87-1981C 	COUVERTURE CHOCOLATE 	COUVERTURE CHOCOLATE 	A0272 B1347 C0174 E0147 F0001 G0003 H0231 H0119 H0253 H0202 J0001 K0003 M0001 N0001 P0024
CX87-1981D 	CHOCOLATE, SWEET OR PLAIN 	CHOCOLATE, SWEET OR PLAIN 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 J0001 K0003 M0001 N0001 P0024
CX87-1981E 	MILK CHOCOLATE 	MILK CHOCOLATE 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 H0297 J0001 K0003 M0001 N0001 P0024
CX87-1981F 	MILK COUVERTURE CHOCOLATE 	MILK COUVERTURE CHOCOLATE 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 H0297 J0001 K0003 M0001 N0001 P0024
CX87-1981G 	MILK CHOCOLATE WITH HIGH MILK CONTENT 	MILK CHOCOLATE WITH HIGH MILK CONTENT 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 H0297 J0001 K0003 M0001 N0001 P0024
CX87-1981H 	SKIMMED MILK CHOCOLATE 	SKIMMED MILK CHOCOLATE 	A0272 B1012 C0108 E0147 F0001 G0003 H0253 H0231 H0119 H0248 H0297 J0001 K0003 M0001 N0001 P0024
CX87-1981J 	SKIMMED MILK COUVERTURE CHOCOLATE 	SKIMMED MILK COUVERTURE CHOCOLATE 	A0272 B1012 C0108 E0147 F0001 G0003 H0253 H0231 H0119 H0248 H0297 J0001 K0003 M0001 N0001 P0024
CX87-1981K 	CREAM CHOCOLATE 	CREAM CHOCOLATE 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 H0297 H0296 J0001 K0003 M0001 N0001 P0024
CX87-1981L 	CHOCOLATE VERMICELLI 	CHOCOLATE VERMICELLI 	A0272 B1012 C0108 E0153 F0001 G0003 H0231 H0119 H0253 J0001 K0003 M0001 N0001 P0024
CX87-1981M 	CHOCOLATE FLAKES 	CHOCOLATE FLAKES 	A0272 B1012 C0108 E0153 F0001 G0003 H0231 H0119 H0253 J0001 K0003 M0001 N0001 P0024
CX87-1981N 	MILK CHOCOLATE VERMICELLI 	MILK CHOCOLATE VERMICELLI 	A0272 B1012 C0108 E0153 F0001 G0003 H0231 H0119 H0253 H0297 J0001 K0003 M0001 N0001 P0024
CX87-1981P 	MILK CHOCOLATE FLAKES 	MILK CHOCOLATE FLAKES 	A0272 B1012 C0108 E0153 F0001 G0003 H0231 H0119 H0253 H0297 J0001 K0003 M0001 N0001 P0024
CX87-1981Q 	CHOCOLATE, FLAVORED 	CHOCOLATE, FLAVORED 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 H0227 J0001 K0003 M0001 N0001 P0024
CX87-1981R 	CHOCOLATE, UNSWEETENED, FLAVORED 	CHOCOLATE, UNSWEETENED, FLAVORED 	A0272 B1318 C0190 E0147 F0001 G0003 H0253 H0119 H0231 H0227 J0001 K0003 M0001 N0001 P0024
CX87-1981S 	COUVERTURE CHOCOLATE, FLAVORED 	COUVERTURE CHOCOLATE, FLAVORED 	A0272 B1347 C0174 E0147 F0001 G0003 H0119 H0253 H0227 H0202 J0001 K0003 M0001 N0001 P0024
CX87-1981T 	CHOCOLATE, SWEET OR PLAIN, FLAVORED 	CHOCOLATE, SWEET OR PLAIN, FLAVORED 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 H0227 J0001 K0003 M0001 N0001 P0024
CX87-1981U 	MILK CHOCOLATE, FLAVORED 	MILK CHOCOLATE, FLAVORED 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 H0297 H0227 J0001 K0003 M0001 N0001 P0024
CX87-1981V 	MILK COUVERTURE CHOCOLATE, FLAVORED 	MILK COUVERTURE CHOCOLATE, FLAVORED 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 H0297 H0227 J0001 K0003 M0001 N0001 P0024
CX87-1981W 	MILK CHOCOLATE WITH HIGH MILK CONTENT, FLAVORED 	MILK CHOCOLATE WITH HIGH MILK CONTENT, FLAVORED 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 H0227 H0297 J0001 K0003 M0001 N0001 P0024
CX87-1981X 	SKIMMED MILK CHOCOLATE, FLAVORED 	SKIMMED MILK CHOCOLATE, FLAVORED 	A0272 B1012 C0108 E0147 F0001 G0003 H0227 H0253 H0231 H0119 H0248 H0297 J0001 K0003 M0001 N0001 P0024
CX87-1981Y 	SKIMMED MILK COUVERTURE CHOCOLATE, FLAVORED 	SKIMMED MILK COUVERTURE CHOCOLATE, FLAVORED 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0253 H0119 H0248 H0297 H0227 J0001 K0003 M0001 N0001 P0024
CX87-1981Z 	CREAM CHOCOLATE, FLAVORED 	CREAM CHOCOLATE, FLAVORED 	A0272 B1012 C0108 E0147 F0001 G0003 H0231 H0119 H0253 H0297 H0227 H0296 J0001 K0003 M0001 N0001 P0024
CX88-1981 	CORNED BEEF, CANNED 	CORNED BEEF, CANNED 	A0150 B1161 C0103 E0152 F0014 G0001 H0253 J0110 K0001 M0204 N0001 P0024 Z0018
CX89-1981 	LUNCHEON MEAT 	LUNCHEON MEAT 	A0221 B1297 C0103 E0151 F0022 G0003 H0253 J0001 K0003 M0001 N0001 P0024 Z0018
CX9-1981 	GLUCOSE SYRUP 	GLUCOSE SYRUP 	A0118 B1016 C0203 E0139 F0001 G0003 H0138 J0001 K0003 M0001 N0001 P0024
CX90-1981 	CRAB MEAT, CANNED 	CRAB MEAT, CANNED 	A0267 B1335 C0125 E0152 F0014 G0001 H0001 J0123 K0001 M0204 N0001 P0024
CX91-1981 	FLAT FISH FILLETS, QUICK-FROZEN 	FLAT FISH FILLETS, QUICK-FROZEN 	A0267 B1023 C0175 E0152 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024
CX92-1981 	SHRIMP OR PRAWN, QUICK-FROZEN 	SHRIMP OR PRAWN, QUICK-FROZEN 	A0267 B1237 C0173 E0150 F0001 G0001 H0001 J0132 K0001 M0001 N0001 P0024
CX93-1981 	HAKE FILLET, QUICK-FROZEN 	HAKE FILLET, QUICK-FROZEN 	A0267 B1291 C0175 E0152 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024
CX94-1981 	SARDINE, CANNED, AND SARDINE-TYPE PRODUCTS 	SARDINE, CANNED, AND SARDINE-TYPE PRODUCTS 	A0267 B1365 C0173 E0150 F0014 G0003 H0001 J0123 K0011 M0204 N0001 P0024
CX95-1981 	LOBSTER, QUICK-FROZEN 	LOBSTER, QUICK-FROZEN 	A0267 B1505 C0127 E0151 F0001 G0001 H0001 J0132 K0001 M0001 N0001 P0024
CX96-1981 	HAM, CURED, COOKED 	HAM, CURED, COOKED 	A0150 B1136 C0268 E0151 F0014 G0001 H0253 J0001 K0001 M0001 N0001 P0024 Z0024
CX97-1981 	PORK SHOULDER, CURED, COOKED 	PORK SHOULDER, CURED, COOKED 	A0150 B1136 C0125 E0151 F0014 G0001 H0253 J0001 K0001 M0001 N0001 P0024 Z0043
CX98-1981 	MEAT, CHOPPED, CURED, COOKED 	MEAT, CHOPPED, CURED, COOKED 	A0150 B1297 C0103 E0115 F0014 G0001 H0253 J0001 K0003 M0001 N0001 P0024 Z0018
CX99-1981 	TROPICAL FRUIT SALAD, CANNED 	TROPICAL FRUIT SALAD, CANNED 	A0208 B1484 C0229 E0122 F0014 G0003 H0147 J0123 K0011 M0194 N0001 P0024
